audit_id,position_id,mint_address,entry_at,exit_at,entry_price,exit_price,net_return_pct,entry_liquidity_usd,exit_liquidity_usd,entry_market_cap,opened_at,entry_rank,entry_volume_24h,snapshot_liquidity_usd,mfe_pct,mae_pct,mfe_time,mae_time,is_collapse,path_length,volume_24h_to_liquidity
93f42e51-4c79-4bdc-b77f-67db84a6e518,bf702ff8-bbab-46eb-bb2a-1a613fffba7b,oxsBtVM2ph6TWDZjKeLxuq77kQLBNBmdTcZDXcGpump,2026-08-06 17:45:00.716003+00:00,2026-08-07 00:11:19.180965+00:00,0.005502,0.0056055,-12.5787,167149.64,1511.48,5502966.0,2026-08-06 17:45:00.716003+00:00,3,88032.85,167149.64,35.84151217739004,-99.97266448564159,2026-08-06 23:55:21.161347+00:00,2026-08-07 00:11:19.180965+00:00,True,220.0,0.5266708920222622
4f5e036d-a171-4881-8f0e-c697ef63b929,36e84c61-d1e6-4ee7-9433-0da28de37916,CpVpZfyPXjgPnshbjishBtMuyoX6VRBzptjmtfPnjecz,2026-08-06 17:30:00.023577+00:00,2026-08-07 01:41:42.405907+00:00,0.004613,0.00571125,22.7988,153150.69,148143.19,4613595.0,2026-08-06 17:30:00.023577+00:00,2,73155.53,153150.69,65.07695642748754,-5.701278994146981,2026-08-06 23:39:40.955452+00:00,2026-08-07 01:41:42.405907+00:00,False,283.0,0.4776702605779967
3e5d68a1-3dda-49ec-9788-562e57efa3d8,88b4a0eb-4d7b-4a5c-8ee7-7533ac6dcd3f,67DRARNLy41ThohBNtRNHKugBr5Md8BbWdbbMjD4pump,2026-08-07 02:42:06.921956+00:00,2026-08-07 05:43:06.648727+00:00,0.006623,0.00515625,-31.9476,182961.11,1323.64,6621774.0,2026-08-07 02:42:06.921956+00:00,1,92419.34,182961.11,3.804922240676425,-99.98023554280539,2026-08-07 03:50:36.135843+00:00,2026-08-07 05:43:06.648727+00:00,True,15.0,0.5051310630986006
ea1f2aca-0d7c-486c-88b5-1582d4f2b91b,c1c3ff7e-0611-4084-9409-74a37e37f163,SjUsxV1DNsAPPJuHCQJE6Qq2j69sPaGnv8rvvr9pump,2026-08-05 06:34:19.840157+00:00,2026-08-07 09:02:40.469143+00:00,0.003794,0.0029115,-24.6888,140359.09,15585.66,3791208.0,2026-08-05 06:34:19.840157+00:00,7,60609.85,140359.09,2.3194517659462304,-98.57670005271481,2026-08-06 07:13:46.523965+00:00,2026-08-07 09:02:40.469143+00:00,True,1997.0,0.4318199127680295
b4e6d087-7f25-4b2c-b40c-496b878a6795,69c3910d-3fab-4480-b7be-dd74d91a2298,E14Zh2nA8GTwAXh5XSbz6XuVkEeDZDmx9ANibUvapump,2026-08-06 11:30:01.455977+00:00,2026-08-07 12:21:09.427988+00:00,6.887e-06,1.194e-05,61.0671,5686.6,7546.53,6706.0,2026-08-06 11:30:01.455977+00:00,13,4330.41,5686.6,131.1601568171918,-17.366051981995064,2026-08-07 11:19:31.147104+00:00,2026-08-06 17:52:17.103933+00:00,False,883.0,0.7615112721133893
baa29ce3-5dfd-4517-aa35-36f4a48fee2a,14038761-b57f-4166-aa7b-bb3fb79c6686,Fo1jurQMNo2GxGBFPpBcYpLSv8iVa5xNDHazCATXpump,2026-08-07 05:45:00.075372+00:00,2026-08-07 15:42:17.445615+00:00,0.009888,0.011325,-6.0478,224052.64,1321.84,9886284.0,2026-08-07 05:45:00.075372+00:00,2,187022.78,224052.64,52.71035598705504,-99.98682241100325,2026-08-07 15:40:43.738144+00:00,2026-08-07 15:42:17.445615+00:00,True,822.0,0.8347269641634215
ed3f8ba6-ce8a-48cd-8c35-e4d010931533,4d8ea37b-05e2-455e-9d81-190f25805f70,Fcbmm7MMoyGB31c4MEsdqNDLvDh92xRCsnQtDsVZpump,2026-08-07 09:05:00.036489+00:00,2026-08-07 15:45:31.148706+00:00,0.001349,0.00116625,-25.3052,82301.07,1364.42,1347577.0,2026-08-07 09:05:00.036489+00:00,2,70087.66,82301.07,15.270570793180136,-99.89977761304671,2026-08-07 15:44:27.914255+00:00,2026-08-07 15:45:31.148706+00:00,True,478.0,0.8516008358093036
f9c0afa8-c6e2-4f3d-8e02-28b46069a78e,a6a85aa4-1a36-4cde-b3b8-b96ed443c6fc,DHKfiAzT1uhMXdLZyHzbPU1TmVX7jgR4rkeYcQq3pump,2026-08-07 15:45:01.155655+00:00,2026-08-07 22:03:55.458932+00:00,4.259e-05,6.65475e-05,51.238,13822.43,17452.58,40108.0,2026-08-07 15:45:01.155655+00:00,7,174114.34,13822.43,108.33528997417234,-2.7471237379666524,2026-08-07 19:51:04.477470+00:00,2026-08-07 16:11:57.236044+00:00,False,556.0,12.596507271152756
c2a301c3-7402-4be3-9e27-b8c37220727b,93994d1d-c793-4588-8504-6f059986fd9d,DxnPojFH2FfeEqwq6DhBhEFEyvrgbeTNZ3tSUW3rpump,2026-08-07 12:25:00.096947+00:00,2026-08-08 02:22:33.992252+00:00,0.003586,0.003681,1.7205,135585.99,121615.86,3584947.0,2026-08-07 12:25:00.096947+00:00,1,172132.21,135585.99,36.865588399330726,-19.492470719464595,2026-08-08 02:22:14.770391+00:00,2026-08-08 02:22:33.992252+00:00,False,898.0,1.269542745529977
ca741d6a-f4c1-4592-9743-f385f1261d15,40540534-ef9d-4f61-9ec2-194ee47d4cec,41wFZXSSjyiaQE97pRMqodTSwYxnV4ryX6XYfEs3pump,2026-08-06 16:00:36.011500+00:00,2026-08-08 05:31:01.863329+00:00,2.305e-05,1.72875e-05,-29.1368,10059.25,6929.02,22275.0,2026-08-06 16:00:36.011500+00:00,4,10691.84,10059.25,-0.17353579175704822,-48.24295010845987,2026-08-06 17:21:45.808734+00:00,2026-08-08 05:31:01.863329+00:00,False,561.0,1.062886398091309
